time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.051039,0.0512,0.051124220000000005,0.051135,3.4958998841498715e-05,8192,64,8,8,131072,1,64,832,True,FLASH_ATTENTION
0.054431,0.054592,0.05449338000000001,0.054495,3.590537007189804e-05,8192,64,8,8,131072,1,64,896,True,FLASH_ATTENTION
0.057887,0.057984,0.05796034,0.057967,2.7180588661763862e-05,8192,64,8,8,131072,1,64,960,True,FLASH_ATTENTION
0.06127900000000001,0.061408000000000004,0.06133626,0.061343,3.355700224990109e-05,8192,64,8,8,131072,1,64,1024,True,FLASH_ATTENTION
0.06470300000000001,0.064832,0.06474704,0.064736,3.788242864442345e-05,8192,64,8,8,131072,1,64,1088,True,FLASH_ATTENTION
0.068063,0.068224,0.06813268,0.068127,3.581700154954403e-05,8192,64,8,8,131072,1,64,1152,True,FLASH_ATTENTION
0.071487,0.071616,0.07153968,0.071551,3.659204285087027e-05,8192,64,8,8,131072,1,64,1216,True,FLASH_ATTENTION
0.074879,0.074976,0.07493182,0.074943,2.9817907371240965e-05,8192,64,8,8,131072,1,64,1280,True,FLASH_ATTENTION
0.07827100000000001,0.078432,0.0783771,0.078368,3.0288116481551122e-05,8192,64,8,8,131072,1,64,1344,True,FLASH_ATTENTION
0.08169499999999999,0.081824,0.08176254,0.08176000000000001,4.057940857134342e-05,8192,64,8,8,131072,1,64,1408,True,FLASH_ATTENTION
0.085088,0.085248,0.08518856,0.085184,3.5294282823142575e-05,8192,64,8,8,131072,1,64,1472,True,FLASH_ATTENTION
0.088447,0.08867100000000001,0.08855269999999997,0.08854300000000001,5.634900176578208e-05,8192,64,8,8,131072,1,64,1536,True,FLASH_ATTENTION
0.091872,0.092063,0.09195388000000002,0.091936,4.187249216370971e-05,8192,64,8,8,131072,1,64,1600,True,FLASH_ATTENTION
0.095263,0.09542400000000001,0.09533426000000002,0.095327,4.351037117745656e-05,8192,64,8,8,131072,1,64,1664,True,FLASH_ATTENTION
0.09865600000000001,0.098848,0.09875822000000001,0.098751,4.395510891807644e-05,8192,64,8,8,131072,1,64,1728,True,FLASH_ATTENTION
0.10207899999999999,0.102303,0.10216862,0.102143,5.038408081924468e-05,8192,64,8,8,131072,1,64,1792,True,FLASH_ATTENTION
0.105502,0.10566299999999999,0.10560257999999999,0.10559900000000001,3.871851753360322e-05,8192,64,8,8,131072,1,64,1856,True,FLASH_ATTENTION
0.108863,0.109087,0.10895468,0.108959,5.120837431514573e-05,8192,64,8,8,131072,1,64,1920,True,FLASH_ATTENTION
0.112288,0.112511,0.11241412,0.112416,4.472477613135755e-05,8192,64,8,8,131072,1,64,1984,True,FLASH_ATTENTION
0.013887,0.013952,0.013924359999999998,0.01392,2.3927189554981242e-05,8192,64,8,8,131072,1,96,96,True,FLASH_ATTENTION
0.017312,0.017376000000000003,0.01734582,0.017344000000000002,1.9579264541856947e-05,8192,64,8,8,131072,1,96,192,True,FLASH_ATTENTION
0.024031,0.024128,0.024068220000000005,0.024064000000000002,2.2237167085759115e-05,8192,64,8,8,131072,1,96,288,True,FLASH_ATTENTION
0.027486999999999998,0.027552,0.027525599999999997,0.02752,1.8850994668717533e-05,8192,64,8,8,131072,1,96,384,True,FLASH_ATTENTION
0.03424,0.034305,0.034266519999999995,0.034272,1.6541148690462767e-05,8192,64,8,8,131072,1,96,480,True,FLASH_ATTENTION
0.037695,0.037791,0.03775316000000001,0.037759,1.9092783977198623e-05,8192,64,8,8,131072,1,96,576,True,FLASH_ATTENTION
0.044448,0.044544,0.044510400000000006,0.044512,1.9208331525669208e-05,8192,64,8,8,131072,1,96,672,True,FLASH_ATTENTION
0.047871000000000004,0.048,0.04794914,0.047936,2.874091856569677e-05,8192,64,8,8,131072,1,96,768,True,FLASH_ATTENTION
0.054623,0.054752,0.05467756000000001,0.054687,3.354290386952016e-05,8192,64,8,8,131072,1,96,864,True,FLASH_ATTENTION
0.058366999999999995,0.058688000000000004,0.058511539999999994,0.058527,6.937152441744383e-05,8192,64,8,8,131072,1,96,960,True,FLASH_ATTENTION
0.065152,0.06559999999999999,0.06532334,0.065312,8.532423102495524e-05,8192,64,8,8,131072,1,96,1056,True,FLASH_ATTENTION
0.06831999999999999,0.068479,0.06839122,0.068384,2.827598981468277e-05,8192,64,8,8,131072,1,96,1152,True,FLASH_ATTENTION
0.075071,0.07523200000000001,0.0751751,0.07516800000000001,3.108842228225793e-05,8192,64,8,8,131072,1,96,1248,True,FLASH_ATTENTION
0.078559,0.07881600000000001,0.07873218,0.0787355,4.1976512480196876e-05,8192,64,8,8,131072,1,96,1344,True,FLASH_ATTENTION
0.085343,0.08547199999999999,0.08541178,0.085407,2.8607894015462635e-05,8192,64,8,8,131072,1,96,1440,True,FLASH_ATTENTION
0.089151,0.08966299999999999,0.08941100000000002,0.089407,0.0001010957961539434,8192,64,8,8,131072,1,96,1536,True,FLASH_ATTENTION
0.09606300000000001,0.096479,0.09627428000000002,0.09625600000000001,0.00010300253200771437,8192,64,8,8,131072,1,96,1632,True,FLASH_ATTENTION
0.098975,0.09929600000000001,0.09921519999999999,0.099231,4.634652090502586e-05,8192,64,8,8,131072,1,96,1728,True,FLASH_ATTENTION
0.105727,0.10585599999999999,0.1057933,0.1057915,3.1009837148878086e-05,8192,64,8,8,131072,1,96,1824,True,FLASH_ATTENTION
0.10911900000000001,0.109311,0.10919592,0.1091835,4.5715135349248084e-05,8192,64,8,8,131072,1,96,1920,True,FLASH_ATTENTION
0.014175000000000002,0.014272,0.01421062,0.014208,2.5517750684572382e-05,8192,64,8,8,131072,1,128,128,True,FLASH_ATTENTION
0.020959,0.021024,0.020984139999999995,0.020992,1.759660194469314e-05,8192,64,8,8,131072,1,128,256,True,FLASH_ATTENTION
0.027774999999999998,0.02784,0.027795680000000003,0.027807,2.009720378560072e-05,8192,64,8,8,131072,1,128,384,True,FLASH_ATTENTION
0.034559,0.034688000000000004,0.0346466,0.034655000000000005,2.4008331887076725e-05,8192,64,8,8,131072,1,128,512,True,FLASH_ATTENTION
0.041343000000000005,0.04144,0.04139922,0.041407,2.107917455689364e-05,8192,64,8,8,131072,1,128,640,True,FLASH_ATTENTION
0.048159,0.048256,0.04821726,0.048223,2.6309549597058115e-05,8192,64,8,8,131072,1,128,768,True,FLASH_ATTENTION
