time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.078335,0.07887999999999999,0.07857078,0.07857549999999999,0.00010202926834982027,,,,,,8192,64,8,4,131072,1,32,1344,True,FLASH_ATTENTION
0.081664,0.08214400000000001,0.08191053999999999,0.08191899999999999,9.811976559287188e-05,,,,,,8192,64,8,4,131072,1,32,1376,True,FLASH_ATTENTION
0.081663,0.08224,0.08199612,0.082015,0.00010743139950684813,,,,,,8192,64,8,4,131072,1,32,1408,True,FLASH_ATTENTION
0.08518300000000001,0.08556699999999999,0.08535593999999999,0.085375,8.418133047178402e-05,,,,,,8192,64,8,4,131072,1,32,1440,True,FLASH_ATTENTION
0.08512,0.085663,0.08541484,0.085439,0.00010888918403588043,,,,,,8192,64,8,4,131072,1,32,1472,True,FLASH_ATTENTION
0.088544,0.08912099999999999,0.08882672,0.08881649999999999,0.0001112983450011717,,,,,,8192,64,8,4,131072,1,32,1504,True,FLASH_ATTENTION
0.08851099999999999,0.08905500000000001,0.08879991999999998,0.08883100000000001,0.00012496172854118304,,,,,,8192,64,8,4,131072,1,32,1536,True,FLASH_ATTENTION
0.09196800000000001,0.092416,0.09218971999999999,0.09219100000000001,9.622536879638247e-05,,,,,,8192,64,8,4,131072,1,32,1568,True,FLASH_ATTENTION
0.092031,0.092575,0.09231034,0.092351,0.00011946892650392343,,,,,,8192,64,8,4,131072,1,32,1600,True,FLASH_ATTENTION
0.095263,0.09577500000000001,0.09555417999999999,0.095551,0.0001223044872439273,,,,,,8192,64,8,4,131072,1,32,1632,True,FLASH_ATTENTION
0.095359,0.09583900000000001,0.09558840000000002,0.095583,0.00011836452171153374,,,,,,8192,64,8,4,131072,1,32,1664,True,FLASH_ATTENTION
0.09887800000000001,0.099231,0.09903094,0.09902250000000001,8.526321833006303e-05,,,,,,8192,64,8,4,131072,1,32,1696,True,FLASH_ATTENTION
0.098815,0.099327,0.09903412000000002,0.0990395,0.00013163140050915088,,,,,,8192,64,8,4,131072,1,32,1728,True,FLASH_ATTENTION
0.102271,0.102687,0.10249578,0.102495,9.093102660808435e-05,,,,,,8192,64,8,4,131072,1,32,1760,True,FLASH_ATTENTION
0.10211,0.102718,0.10247070000000001,0.102495,0.00013860003607503327,,,,,,8192,64,8,4,131072,1,32,1792,True,FLASH_ATTENTION
0.105535,0.106047,0.10575538,0.105759,0.0001191863901626361,,,,,,8192,64,8,4,131072,1,32,1824,True,FLASH_ATTENTION
0.105662,0.106047,0.10585310000000002,0.1058235,0.00011294622614324047,,,,,,8192,64,8,4,131072,1,32,1856,True,FLASH_ATTENTION
0.108992,0.10944,0.10924265999999999,0.109247,0.0001168846628091121,,,,,,8192,64,8,4,131072,1,32,1888,True,FLASH_ATTENTION
0.108991,0.109472,0.10927142,0.109279,0.00010856612547199112,,,,,,8192,64,8,4,131072,1,32,1920,True,FLASH_ATTENTION
0.11257500000000001,0.113054,0.11283505999999999,0.1128305,0.00010945947377911167,,,,,,8192,64,8,4,131072,1,32,1952,True,FLASH_ATTENTION
0.112543,0.113055,0.11283748,0.112831,0.00010993711657124758,,,,,,8192,64,8,4,131072,1,32,1984,True,FLASH_ATTENTION
0.11593500000000001,0.116351,0.11610865999999997,0.116127,0.00010078980305566584,,,,,,8192,64,8,4,131072,1,32,2016,True,FLASH_ATTENTION
0.009824,0.009952,0.00987004,0.009856,2.5752638699752917e-05,,,,,,8192,64,8,4,131072,1,64,64,True,FLASH_ATTENTION
0.013824,0.013952,0.01387828,0.013888000000000001,2.5000031999979707e-05,,,,,,8192,64,8,4,131072,1,64,128,True,FLASH_ATTENTION
0.017183,0.017312,0.01724078,0.017247500000000002,3.4658499679010624e-05,,,,,,8192,64,8,4,131072,1,64,192,True,FLASH_ATTENTION
0.020576,0.020736,0.020678779999999997,0.020672,3.747708099625665e-05,,,,,,8192,64,8,4,131072,1,64,256,True,FLASH_ATTENTION
0.023999,0.02416,0.024062580000000007,0.024064000000000002,3.624918757710271e-05,,,,,,8192,64,8,4,131072,1,64,320,True,FLASH_ATTENTION
0.027392,0.02752,0.02746032,0.027456,3.988154460398889e-05,,,,,,8192,64,8,4,131072,1,64,384,True,FLASH_ATTENTION
0.030751999999999998,0.030976,0.03088094,0.03088,4.235583076743985e-05,,,,,,8192,64,8,4,131072,1,64,448,True,FLASH_ATTENTION
0.034208,0.034432000000000004,0.034321660000000004,0.0343195,5.5478143444063776e-05,,,,,,8192,64,8,4,131072,1,64,512,True,FLASH_ATTENTION
0.0376,0.037823999999999997,0.03772388,0.037728000000000005,5.101162220514049e-05,,,,,,8192,64,8,4,131072,1,64,576,True,FLASH_ATTENTION
0.040992,0.041248,0.04112562,0.04112,6.42040154507487e-05,,,,,,8192,64,8,4,131072,1,64,640,True,FLASH_ATTENTION
0.044479,0.04470300000000001,0.0445845,0.044576000000000005,5.439898896119243e-05,,,,,,8192,64,8,4,131072,1,64,704,True,FLASH_ATTENTION
0.047872,0.048127,0.04802142,0.048031,5.6769741940579285e-05,,,,,,8192,64,8,4,131072,1,64,768,True,FLASH_ATTENTION
0.051232,0.051552,0.051415220000000005,0.051423,7.671773979986605e-05,,,,,,8192,64,8,4,131072,1,64,832,True,FLASH_ATTENTION
0.054591,0.054975,0.05476244,0.054752,8.372291442609933e-05,,,,,,8192,64,8,4,131072,1,64,896,True,FLASH_ATTENTION
0.058078000000000005,0.058399,0.058284539999999996,0.058302,6.011396177261952e-05,,,,,,8192,64,8,4,131072,1,64,960,True,FLASH_ATTENTION
